LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M,PS,WS50M_RANGE,WS10M_RANGE,WS50M,WS10M,T2M_RANGE
52.22961,21.01811,2015,05,09,   20.01,    7.42,   14.30,    0.01,    5.59,   55.10,  100.46,    6.03,    2.23,    3.75,    2.45,   12.59
52.22961,21.01811,2015,05,10,   15.45,    8.66,   12.12,    8.06,    7.08,   80.47,  100.48,    5.39,    3.51,    6.83,    4.63,    6.78
52.22961,21.01811,2015,05,11,   15.82,    6.38,   11.33,    0.09,    5.89,   71.16,  101.29,    6.79,    4.57,    3.94,    2.95,    9.45
52.22961,21.01811,2015,05,12,   20.09,    6.06,   14.45,    0.00,    6.24,   61.13,  100.70,    5.26,    3.50,    7.00,    4.61,   14.03
52.22961,21.01811,2015,05,13,   17.09,    8.82,   13.06,    1.56,    5.96,   63.41,  100.01,    5.52,    5.26,    7.98,    5.78,    8.27
52.22961,21.01811,2015,05,14,   14.94,    6.76,   11.39,    1.53,    5.86,   69.25,   99.46,    4.90,    3.89,    5.03,    3.35,    8.18
52.22961,21.01811,2015,05,15,   15.16,    4.29,   10.30,    0.43,    5.41,   69.05,   99.88,    4.66,    5.09,    6.89,    4.69,   10.88
52.22961,21.01811,2015,05,16,   17.62,    3.06,   11.51,    0.00,    4.28,   50.69,  100.36,    7.12,    4.10,    4.25,    2.88,   14.56
52.22961,21.01811,2015,05,17,   15.40,    6.80,   11.52,    0.20,    5.06,   59.88,  100.30,    4.20,    5.92,    9.06,    6.47,    8.60
52.22961,21.01811,2015,05,18,   16.62,    5.74,   11.44,    0.05,    5.02,   59.52,  100.07,    6.93,    6.09,    6.59,    4.77,   10.88
52.22961,21.01811,2015,05,19,   24.65,    8.04,   16.66,    3.61,    7.95,   66.65,   99.47,    7.54,    6.39,    6.26,    4.28,   16.61
52.22961,21.01811,2015,05,20,   22.86,   13.41,   17.48,    7.62,   10.33,   82.21,   99.57,    4.73,    3.63,    3.51,    2.46,    9.46
52.22961,21.01811,2015,05,21,   15.67,   10.23,   12.43,    5.41,    7.22,   80.37,  100.42,    2.48,    3.73,    6.60,    4.77,    5.45
